R0,amplitude,gamma,mu,sigma,rho,psi,iota,S_0,E_0,R_0,I_0,spanLogLik,LogLik
38.35296731,0.521038439,73.05,0.173884612,45.66,0.600230474,0.392612475,3.287993624,0.003872707,1.11E-10,0.256409446,0.739717847,35.90400636,-3834.262133
36.04455684,0.527150965,73.05,0.121623462,45.66,0.557070249,0.386694127,2.790116039,0.91641156,0.043621797,0.039887104,7.95E-05,24.0101511,-3836.264657
39.56266852,0.511597235,73.05,0.194229045,45.66,0.596217789,0.412391384,2.60344924,0.007081263,0.123256031,0.860218143,0.009444564,28.59285092,-3837.690388
45.551754,0.559317218,73.05,0.324029325,45.66,0.78398353,0.371772998,3.923889851,0.022114529,0.033403482,0.944428289,5.37E-05,47.45833691,-3838.312033
39.34352636,0.534349886,73.05,0.187951881,45.66,0.593681533,0.37050911,3.509760912,0.999255886,0.000577824,0.00016084,5.45E-06,62.04693359,-3838.832125
35.79166045,0.511200104,73.05,0.124568311,45.66,0.54172032,0.413152275,3.331297413,0.574365459,0.163210324,0.176683086,0.08574113,40.04547666,-3840.189307
50.79886581,0.513457396,73.05,0.419171838,45.66,0.902855392,0.370382178,2.01E-05,0.160534668,2.25E-10,0.255770681,0.583694651,35.47703451,-3841.55746
36.85954454,0.511233127,73.05,0.156101664,45.66,0.583660393,0.385744424,4.869074191,0.000281232,0.000491619,0.999226523,6.26E-07,45.05629686,-3841.944502
37.48252611,0.528658086,73.05,0.16357267,45.66,0.593509887,0.397542327,4.788819169,0.907289471,0.074395367,0.018285128,3.00E-05,32.02376179,-3843.558307
43.32805396,0.506067446,73.05,0.279059343,45.66,0.710290989,0.398787088,2.513328602,0.059118936,9.20E-05,0.94078872,3.34E-07,17.26856247,-3843.805637
36.86318722,0.512264313,73.05,0.148356752,45.66,0.570260062,0.42335293,4.148019985,0.685370245,0.181496781,0.131615107,0.001517867,11.49305375,-3846.239916
41.65358956,0.506317136,73.05,0.250080337,45.66,0.646557728,0.387381615,2.975421823,0.028173911,1.56E-10,0.918499793,0.053326296,43.67927888,-3846.252452
41.16729953,0.516981007,73.05,0.238484492,45.66,0.624138266,0.402688457,3.423190003,0.977413129,0.010720965,0.011823058,4.28E-05,37.75463025,-3846.35492
39.74859118,0.454256939,73.05,0.220802307,45.66,0.609557033,0.416105151,2.345776415,0.911275039,0.081275172,0.001473111,0.005976678,34.64001844,-3847.302231
34.78067452,0.542101408,73.05,0.104084528,45.66,0.527637488,0.375775114,5.042252655,0.246839059,1.68E-05,0.641067548,0.112076621,45.15219717,-3848.501776
37.14222389,0.557183468,73.05,0.159055107,45.66,0.590542729,0.396816651,7.23545872,0.000771167,0.000558296,0.993456404,0.005214133,35.29911965,-3849.053527
31.5610298,0.52317875,73.05,0.049652378,45.66,0.498793702,0.423229906,6.463764464,0.112771745,1.45E-05,0.887205897,7.89E-06,14.25357771,-3849.16513
36.88500091,0.493819379,73.05,0.152499225,45.66,0.578738654,0.387405902,3.818083491,0.004107625,9.94E-09,0.995892352,1.32E-08,17.83532227,-3849.30221
41.93343835,0.514630194,73.05,0.261118577,45.66,0.700273205,0.37324382,3.821542758,0.99602635,5.82E-06,0.003966782,1.05E-06,26.66866679,-3849.319957
39.58146905,0.541372925,73.05,0.19117812,45.66,0.59346498,0.418184798,3.090219853,0.99296161,0.000143807,0.006888527,6.06E-06,20.11095174,-3849.782801
38.77085705,0.529018389,73.05,0.182720424,45.66,0.602379926,0.3869689,3.724901649,0.275088334,0.012034623,0.276586791,0.436290252,14.69344781,-3850.229183
32.17347466,0.511864463,73.05,0.062055898,45.66,0.491829498,0.388921857,6.393370084,0.624737558,0.003276901,0.371962735,2.28E-05,39.73517037,-3850.299199
38.65151825,0.493218887,73.05,0.187264061,45.66,0.585390869,0.382008061,2.98426701,6.51E-05,0.001506749,0.995605485,0.00282267,43.02745171,-3850.330233
38.55519429,0.489733014,73.05,0.177749389,45.66,0.590621132,0.392816329,1.709784889,0.000282089,7.10E-07,0.999717201,2.07E-10,17.37826001,-3850.524321
31.50511201,0.500629905,73.05,0.049419597,45.66,0.458997425,0.422927836,6.566691373,0.073599186,0.001974353,0.921196983,0.003229479,30.4712187,-3850.803347
39.20960167,0.519058843,73.05,0.205241209,45.66,0.634974874,0.375014793,2.815407071,0.000249672,2.41E-06,0.99974792,1.88E-10,34.08260748,-3850.80579
44.18231328,0.536384871,73.05,0.299272272,45.66,0.727044805,0.372729691,3.052846877,0.064365623,0.046171267,0.381527818,0.507935292,37.34392649,-3851.364951
42.13248283,0.535167843,73.05,0.245359866,45.66,0.637003107,0.401733247,3.268375446,0.002110929,0.055398346,0.820894673,0.121596052,22.53830401,-3851.435217
31.13367535,0.514123688,73.05,0.043242006,45.66,0.456707941,0.448334639,6.73949259,1.89E-06,1.38E-05,0.999984326,9.86E-10,15.29808746,-3851.495348
38.56666885,0.516141557,73.05,0.19154721,45.66,0.633395568,0.381063728,3.588161877,0.949887567,0.003086545,0.047008308,1.76E-05,19.87211994,-3851.505133
41.74363982,0.516778229,73.05,0.242922216,45.66,0.700513316,0.360175271,2.243752043,6.88E-07,3.20E-05,0.999967333,2.01E-09,30.60300738,-3851.647222
29.29501677,0.502486109,73.05,0.001388529,45.66,0.464137941,0.407943878,4.285591282,0.170960659,2.95E-12,0.327837668,0.501201672,21.08946104,-3851.774818
39.38846225,0.525274271,73.05,0.189394983,45.66,0.584716311,0.408100323,2.368968292,0.1133444,2.29E-05,0.725613131,0.161019549,44.70526333,-3852.081354
38.18082524,0.522803692,73.05,0.182780919,45.66,0.602022352,0.387124941,3.820180935,0.012911062,2.60E-09,0.386161724,0.600927211,26.21215239,-3852.246749
34.38774622,0.490963587,73.05,0.109463775,45.66,0.521605411,0.415366735,4.316516282,0.44640393,0.013967063,0.539574685,5.43E-05,25.16161613,-3852.250981
41.68235217,0.510793372,73.05,0.24365638,45.66,0.652059637,0.353611999,2.363912673,0.000144933,0.001011543,0.998843455,6.93E-08,51.02753216,-3852.645968
30.74008442,0.500878894,73.05,0.032508023,45.66,0.474804455,0.398455374,4.638763213,0.39470567,0.000516358,0.597163756,0.007614216,24.72327238,-3852.66309
30.43730327,0.514193049,73.05,0.019992957,45.66,0.460820652,0.433503571,5.291034878,0.977136273,0.020742518,0.001817742,0.000303467,22.29184177,-3852.683868
43.69922309,0.51712769,73.05,0.297751955,45.66,0.731814795,0.377717499,3.674910756,0.001600082,5.66E-06,0.998394259,4.29E-11,37.77543181,-3852.79836
36.52940072,0.529138589,73.05,0.137367054,45.66,0.586352935,0.363919341,3.454598623,0.487211274,4.47E-12,0.512788726,1.36E-10,24.62007423,-3852.901457
29.55934725,0.521235053,73.05,0.008441203,45.66,0.435586415,0.453514695,8.244041268,0.816934275,1.45E-07,0.18306518,4.00E-07,15.20733017,-3853.093397
30.98526721,0.50734997,73.05,0.04187932,45.66,0.468579067,0.404352979,7.006457918,0.872476656,0.059268179,0.067338529,0.000916636,29.75876041,-3853.905408
39.68214136,0.554329619,73.05,0.200251057,45.66,0.596948867,0.407618427,5.306980219,0.891376875,2.20E-06,0.108620899,2.65E-08,19.51157604,-3854.567045
51.66277781,0.543255762,73.05,0.442667653,45.66,0.866357186,0.403536179,2.6604696,0.990469315,3.07E-05,0.00949945,4.91E-07,38.49247233,-3854.717563
43.37994308,0.488979123,73.05,0.276407566,45.66,0.658732541,0.384465414,1.691903964,0.862210801,0.017624719,0.12015877,5.71E-06,39.93499683,-3854.719528
32.60157913,0.499150611,73.05,0.068249837,45.66,0.496478363,0.406239467,4.15031933,0.042729143,1.69E-14,0.957270857,2.78E-10,10.67033286,-3855.038821
33.42635197,0.477264962,73.05,0.091783465,45.66,0.522828377,0.388006382,3.706626539,0.000292825,2.03E-05,0.999686843,6.72E-08,43.35072402,-3855.05878
32.98914524,0.557964716,73.05,0.064059763,45.66,0.52787136,0.368576023,5.481703331,0.701660812,1.44E-12,0.298339188,6.66E-11,40.47187388,-3855.621765
40.45628585,0.519098895,73.05,0.217820924,45.66,0.631823308,0.37479005,2.452867689,0.646965292,6.05E-05,0.352958938,1.53E-05,25.13651369,-3855.626636
41.37120319,0.529705282,73.05,0.234701987,45.66,0.684597498,0.364908847,2.526903515,0.009262182,0.017105315,0.936502714,0.03712979,20.26997742,-3855.738078
30.18352763,0.503223349,73.05,0.03170106,45.66,0.466678437,0.38752857,6.413911543,0.803311656,0.193685484,0.002849471,0.000153389,38.03882677,-3855.800079
43.61004996,0.491068491,73.05,0.294675577,45.66,0.757068655,0.377405772,2.075052036,0.028325157,1.22E-11,0.918402525,0.053272317,7.301669319,-3855.867422
35.72542278,0.505043761,73.05,0.12224382,45.66,0.507290031,0.418888094,4.350197624,0.188374663,0.009099977,0.802451188,7.42E-05,35.80830817,-3855.921018
32.66635595,0.522897863,73.05,0.057069601,45.66,0.488380601,0.386122746,5.945380393,0.001497498,2.23E-09,0.614164535,0.384337965,44.29985017,-3856.055475
30.25508414,0.508248011,73.05,0.019485012,45.66,0.473397885,0.405769299,5.244300207,0.836238619,2.84E-13,0.163761379,1.79E-09,19.11330666,-3856.075218
46.49587914,0.527159313,73.05,0.338747304,45.66,0.776695643,0.380401806,2.491780121,0.672075563,7.78E-11,0.327924434,2.35E-09,16.31112463,-3856.155163
40.74777608,0.504071971,73.05,0.241574957,45.66,0.661722775,0.386068364,3.904528749,0.271534674,6.57E-05,0.72464916,0.003750513,21.70082753,-3856.588364
37.86378686,0.527475404,73.05,0.173387259,45.66,0.584422852,0.387930431,4.46740891,0.043684343,0.270263396,0.68605211,1.51E-07,17.91072281,-3856.625377
30.26920664,0.525398267,73.05,0.017629607,45.66,0.457190836,0.425400173,7.0923245,0.146090027,0.001241504,0.852612178,5.63E-05,11.79323421,-3856.83981
44.03654407,0.464135562,73.05,0.301357945,45.66,0.70272688,0.374679104,1.490658484,0.461569746,0.002839916,0.535517732,7.26E-05,60.30296079,-3856.860145
34.08225923,0.536196924,73.05,0.090801541,45.66,0.548291918,0.362856284,5.272924609,0.004400229,1.39E-10,0.919591914,0.076007857,20.50578981,-3857.021391
38.75438709,0.518770149,73.05,0.172475559,45.66,0.576206007,0.383214261,2.566780316,1.76E-05,1.17E-06,0.999083163,0.000898115,48.79691247,-3857.456223
36.790085,0.552303119,73.05,0.144613956,45.66,0.582762239,0.371344794,6.123687137,0.685073857,6.18E-12,0.314926142,5.74E-12,28.24006694,-3857.5049
45.37926302,0.508813954,73.05,0.304159918,45.66,0.684797868,0.39395238,2.370874875,0.886619437,0.03483064,0.078508996,4.09E-05,24.17860055,-3857.608701
37.13877877,0.490176029,73.05,0.176792422,45.66,0.584886555,0.394583193,3.093352252,0.035502777,1.32E-06,0.132780954,0.831714948,31.78456602,-3857.613306
47.01854963,0.516556511,73.05,0.360870362,45.66,0.796691257,0.385002073,2.244014142,0.025206993,2.82E-06,0.974788783,1.41E-06,25.39475476,-3858.01288
29.83574226,0.525175431,73.05,0.00944284,45.66,0.468105362,0.365464188,6.162391832,0.394374646,0.167792203,0.001049647,0.436783504,42.18744285,-3858.062365
35.99765239,0.507814325,73.05,0.133449434,45.66,0.553529592,0.371037731,3.361654179,0.609773598,6.84E-05,0.390157168,8.28E-07,33.48862498,-3858.1452
38.93973908,0.489063689,73.05,0.191251014,45.66,0.580101908,0.384568983,2.560891734,0.268908468,4.12E-13,0.731091532,2.18E-13,49.85326433,-3858.434311
