R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,R_0,I_0,spanLogLik,LogLik
49.59366914,0.527579941,73.05,0.384272435,45.66,0.794042254,0.417394528,0.135434761,0.772661858,0.090453532,0.001449849,15.45973472,-3848.565883
46.1418733,0.501179774,73.05,0.320071956,45.66,0.688987375,0.404927208,0.373794212,0.488138008,0.133954734,0.004113046,49.91841701,-3859.734848
47.00496176,0.523536456,73.05,0.331239372,45.66,0.747934335,0.366041035,0.817003601,0.181315991,0.000809127,0.000871281,43.30560353,-3861.446594
42.71700199,0.521176791,73.05,0.248243639,45.66,0.694114953,0.366691197,0.011404588,0.053669702,0.927384544,0.007541166,30.88355383,-3863.26665
49.91257623,0.504168004,73.05,0.387819807,45.66,0.72038736,0.442931825,0.209780116,0.00023246,0.789986792,6.32E-07,35.00767376,-3864.017855
41.89813233,0.481410869,73.05,0.248965351,45.66,0.662077485,0.372647704,0.238497021,0.000105041,0.733501163,0.027896774,32.75551861,-3864.082709
50.93572256,0.477067714,73.05,0.424111686,45.66,0.897200124,0.375967815,0.001095658,0.103962119,0.892779683,0.00216254,41.18204595,-3865.636378
44.53625148,0.505153332,73.05,0.276828918,45.66,0.677886813,0.398696523,0.117086662,0.118736614,0.764176194,5.30E-07,14.99570618,-3869.29219
38.84288549,0.463567362,73.05,0.193559406,45.66,0.594449361,0.411536284,0.376258085,9.67E-06,0.622131387,0.001600859,23.00350025,-3870.961899
45.94666649,0.460392438,73.05,0.318056146,45.66,0.707885367,0.388926458,0.102799256,6.33E-06,0.840007489,0.057186925,21.51073801,-3871.431728
48.21379966,0.484332063,73.05,0.368992709,45.66,0.775635758,0.381613684,0.03184242,0.183968828,0.781951997,0.002236755,17.09734875,-3871.560872
48.29871361,0.51058383,73.05,0.352322448,45.66,0.738042568,0.38001095,0.000132185,6.10E-06,0.920855616,0.079006095,45.35183056,-3871.599729
